Region,Year,Gender,Sat_Very,Sat_Somewhat,Sat_Neutral,Unsat_Somewhat,Unsat_Very,Satisfaction_Rate,Dissatisfaction_Rate,Avg_Satisfaction_Score,Suicide_Rate
대구광역시,2022,남자,12.5,30.5,41.5,12.7,2.9,43.0,15.6,3.3729999999999993,39.1
대구광역시,2023,남자,11.5,25.7,45.2,14.0,3.6,37.2,17.6,3.2750000000000004,39.1
대구광역시,2024,남자,8.5,28.1,42.1,18.3,3.0,36.6,21.3,3.2080000000000006,40.2
대구광역시,2020,여자,9.5,22.9,52.1,13.5,2.1,32.4,15.6,3.245,16.6
대구광역시,2021,여자,10.0,21.6,46.3,19.0,3.1,31.6,22.1,3.1639999999999997,14.7
대구광역시,2022,여자,10.4,29.1,46.0,12.9,1.6,39.5,14.5,3.338,15.2
대구광역시,2023,여자,10.8,27.0,45.2,14.4,2.5,37.8,16.9,3.289,17.4
대구광역시,2024,여자,9.9,25.7,43.0,19.4,2.1,35.6,21.5,3.2220000000000004,19.0
인천광역시,2020,Total,14.6,27.8,45.1,9.5,3.0,42.4,12.5,3.415,26.5
인천광역시,2021,Total,10.3,20.8,45.9,17.3,5.7,31.1,23.0,3.127,25.9
인천광역시,2022,Total,11.9,27.4,45.7,11.5,3.5,39.3,15.0,3.3270000000000004,25.8
인천광역시,2023,Total,12.6,27.2,46.2,10.4,3.5,39.8,13.9,3.3470000000000004,28.8
인천광역시,2024,Total,9.5,18.5,58.3,11.6,2.2,28.0,13.8,3.2179999999999995,31.2
인천광역시,2020,남자,15.3,27.4,45.7,8.8,2.8,42.7,11.600000000000001,3.436000000000001,37.0
인천광역시,2021,남자,11.3,19.7,45.3,17.8,6.1,31.0,23.9,3.1290000000000004,34.5
인천광역시,2022,남자,12.2,24.1,47.3,11.6,4.8,36.3,16.4,3.2729999999999997,35.0
인천광역시,2023,남자,12.9,25.5,47.4,10.6,3.6,38.4,14.2,3.335,40.8
인천광역시,2024,남자,10.5,18.5,57.5,10.9,2.6,29.0,13.5,3.2340000000000004,45.9
인천광역시,2020,여자,13.8,28.1,44.6,10.3,3.2,41.900000000000006,13.5,3.3900000000000006,15.9
인천광역시,2021,여자,9.4,21.8,46.5,16.8,5.4,31.200000000000003,22.200000000000003,3.127,17.3
인천광역시,2022,여자,11.7,30.8,44.0,11.4,2.1,42.5,13.5,3.386,16.6
인천광역시,2023,여자,12.3,28.9,45.1,10.3,3.4,41.2,13.700000000000001,3.364,16.8
인천광역시,2024,여자,8.5,18.5,59.0,12.3,1.7,27.0,14.0,3.198,16.6
광주광역시,2020,Total,15.5,27.9,46.4,7.8,2.5,43.4,10.3,3.464,22.6
광주광역시,2021,Total,10.3,27.8,42.5,15.3,4.2,38.1,19.5,3.25,26.4
광주광역시,2022,Total,14.1,32.1,40.9,10.8,2.1,46.2,12.9,3.4530000000000007,25.0
광주광역시,2023,Total,11.4,31.6,44.2,10.2,2.5,43.0,12.7,3.389,27.3
광주광역시,2024,Total,13.2,27.5,48.6,8.9,1.9,40.7,10.8,3.415,29.9
광주광역시,2020,남자,17.5,26.2,46.7,6.5,3.1,43.7,9.6,3.4850000000000008,31.1
광주광역시,2021,남자,11.6,27.8,39.5,15.7,5.5,39.4,21.2,3.2459999999999996,38.0
광주광역시,2022,남자,17.1,30.3,40.1,10.4,2.2,47.400000000000006,12.600000000000001,3.5,37.3
광주광역시,2023,남자,11.7,30.2,45.7,9.6,2.7,41.9,12.3,3.383,39.5
광주광역시,2024,남자,14.0,27.8,47.6,8.7,1.9,41.8,10.6,3.4329999999999994,44.2
광주광역시,2020,여자,13.5,29.4,46.0,9.1,1.9,42.9,11.0,3.432,14.2
광주광역시,2021,여자,9.0,27.8,45.4,14.8,3.0,36.8,17.8,3.25,15.1
광주광역시,2022,여자,11.2,33.9,41.7,11.1,2.0,45.099999999999994,13.1,3.409,13.0
광주광역시,2023,여자,11.2,33.0,42.8,10.8,2.2,44.2,13.0,3.4019999999999997,15.4
광주광역시,2024,여자,12.5,27.1,49.5,9.1,1.9,39.6,11.0,3.3949999999999996,16.0
대전광역시,2020,Total,14.5,26.8,46.0,10.8,1.8,41.3,12.600000000000001,3.411,27.2
대전광역시,2021,Total,9.5,30.2,38.7,17.4,4.2,39.7,21.599999999999998,3.2340000000000004,29.3
대전광역시,2022,Total,13.8,37.5,37.2,9.5,2.0,51.3,11.5,3.516,25.7
대전광역시,2023,Total,14.6,34.4,39.2,9.5,2.3,49.0,11.8,3.495,26.4
대전광역시,2024,Total,16.0,31.2,43.2,8.1,1.5,47.2,9.6,3.5210000000000004,31.2
대전광역시,2020,남자,17.0,26.8,44.0,9.8,2.4,43.8,12.200000000000001,3.4619999999999997,37.9
대전광역시,2021,남자,7.6,30.4,39.8,17.4,4.8,38.0,22.2,3.1860000000000004,39.8
대전광역시,2022,남자,14.8,34.5,39.2,10.0,1.6,49.3,11.6,3.5120000000000005,33.1
대전광역시,2023,남자,14.9,34.1,37.6,10.4,3.0,49.0,13.4,3.4750000000000005,35.0
대전광역시,2024,남자,17.1,30.9,41.2,9.5,1.4,48.0,10.9,3.5309999999999997,41.7
대전광역시,2020,여자,12.1,26.9,48.0,11.8,1.3,39.0,13.100000000000001,3.3700000000000006,16.5
대전광역시,2021,여자,11.4,30.0,37.7,17.3,3.6,41.4,20.900000000000002,3.283000000000001,18.8
대전광역시,2022,여자,12.8,40.6,35.2,9.0,2.4,53.400000000000006,11.4,3.5239999999999996,18.4
